draft_index,letter_text,provenance,reason_code,amount,avs_match,cvv_match,device_fingerprint_known,delivery_confirmed,prior_order_count
0,"We dispute the AMEX_FR2 chargeback on INR 14268.54. The cardholder’s device was previously authenticated and all AVS and CVV checks passed, indicating a legitimate transaction. The order number, 11, shows a history of successful purchases by this customer, reinforcing authenticity. Billing proof confirms the amount charged. The access activity log demonstrates the customer accessed our platform immediately after purchase, consistent with a normal order flow. Proof of service confirms that the service was delivered to the registered address. Customer communication records show the customer was informed about the transaction and did not raise any concerns until the chargeback was filed. Given the delivery confirmation is unavailable but the service was rendered and the customer’s prior activity is consistent, we request reversal of the chargeback.
",model,AMEX_FR2,14268.54261052564,True,True,True,False,11
1,"Dear Visa, the disputed INR 993.21 transaction (code VISA_10_4) is legitimate. The cardholder had an account with us for a single prior purchase and the AVS and CVV matched. Our access activity log shows the device was used during the order and the service was delivered. We have included proof of service, billing proof, and customer communication. The customer’s recent message is polite and does not contest the charge; it is a refund request. We respectfully request that this charge be upheld and the dispute dismissed. Thank you for your consideration.",model,VISA_10_4,993.2074965090782,True,True,False,False,1
2,"Dear AMEX Review Team,

We respectfully contest the charge of INR 2553.46 marked AMEX_FR2. The merchant performed a full order fulfillment and has 15 prior transactions from this cardholder, all of which were authorized. The delivery was confirmed, and the device used for this purchase matches one previously recognized by the system.

However, the AVS and CVV checks failed, and the cardholder has denied authorisation. We have compiled evidence to support our claim of legitimate service: a proof of service showing the item was delivered, an access activity log confirming the device’s prior use, a billing proof aligning with the transaction, and customer communications confirming acceptance of the purchase.

We ask for the chargeback to be reversed on the basis that the merchant met all fulfillment requirements and the transaction was authorized by the cardholder. Thank you for your prompt review.

Sincerely,
Merchant Representative",model,AMEX_FR2,2553.4611896781057,False,False,True,True,15
3,"Dear Card Network,

We respectfully contest the chargeback for transaction INR 2416.96. All security checks—AVS and CVV—matched the cardholder’s details, and the device used was previously unrecognized, indicating a new device but legitimate transaction. The order was shipped and delivery was confirmed, as shown in the proof of service. No prior orders exist for this customer, supporting the authenticity of this purchase. We have attached billing proof, access activity log, and customer communications that confirm the customer authorized the transaction.

Sincerely,
Merchant",model,MC_4837,2416.963179080491,True,True,False,True,0
4,"Dear Visa Dispute Team,

We are contesting the chargeback on transaction INR 4242.47 under reason code VISA_10_4. The payment was authorized on a device with prior activity, AVS and CVV matched, and the customer has 14 previous successful orders. The service was provided and the transaction was fulfilled; however, the customer claims they did not recall the purchase and reports frequent travel. We have attached billing proof, access activity log, proof of service, and customer communication to show that the transaction was legitimate and the customer was notified. The app crash reported was unrelated to the transaction and did not prevent confirmation of delivery.

We respectfully request that the chargeback be reversed based on the evidence of legitimate purchase and delivery.

Thank you for your consideration.

Sincerely,
Merchant",model,VISA_10_4,4242.467482303242,True,True,True,False,14
5,"Dear Visa, 

We respectfully contest the chargeback for transaction INR 10863.62 (VISA_10_4). The card was used in an authorized manner: the device matches prior activity, AVS and CVV were correct, and delivery was confirmed. The customer’s prior 13 orders demonstrate a consistent buying pattern. The billing proof, access activity log, proof of service, and customer communication (attached) collectively show that the transaction was legitimate and performed by the cardholder or an authorized family member. We request reinstatement of the transaction.

Thank you for your consideration.",model,VISA_10_4,10863.624957725891,True,True,True,True,13
6,"We respectfully contest the chargeback for the transaction of INR 4585.42. The card was issued to the merchant and used by a family member who has permission to make purchases on behalf of the business. Our records show that the device used for this transaction matches devices on file, and the order was previously placed by the same customer (7 prior orders). Delivery was confirmed and proof of service is attached. The billing address and customer account details are consistent with the merchant’s records, and the customer’s communication indicates the transaction was authorized. Therefore, the transaction is legitimate and should not be reversed.",model,VISA_10_4,4585.424038950392,False,False,True,True,7
7,"Dear Dispute Officer,
We respectfully contest the AMEX_FR2 chargeback for INR 1772.17. Our records show the transaction was authorized: AVS and CVV both matched, the card device was previously used by the customer, and the order was placed in a single session. Billing proof confirms the amount and description. The access activity log documents the customer’s login from their registered device at the time of purchase. We have maintained an open line with the customer; their communication confirms receipt of the order and acknowledges the charge. Proof of service details the delivery confirmation via the carrier’s tracking system, showing the package was delivered to the customer’s address. These evidences collectively demonstrate a legitimate transaction. We request reversal of the chargeback.
Sincerely,
Merchant",model,AMEX_FR2,1772.1654455726132,True,True,True,False,9
8,"Dear Card Network,
We respectfully contest the chargeback for transaction INR 17,595.94 (Reason Code MC_4840). The purchase was authorized by the cardholder: AVS and CVV matched, device recognized from prior activity, and the customer had a history of one prior successful order. Billing proof and proof of service demonstrate delivery of goods and payment was captured without dispute. Access activity logs confirm the transaction originated from the customer's registered device and location. Customer communication shows the cardholder received the product and has not expressed dissatisfaction. We request review of the attached evidence and reversal of the chargeback.
Sincerely,
Merchant",model,MC_4840,17595.940043396567,True,True,True,False,1
9,"Dear Visa Team,

We respectfully contest the chargeback for the INR 3776.45 transaction (code VISA_10_4). Our merchant records show the order was placed by a new device, not linked to any prior customer activity, and the delivery confirmation indicates the goods were delivered on the same day. Billing proof confirms the transaction matched the customer’s registered billing address, and our access activity log shows no attempt to alter the order after completion. Customer communication records reveal the customer received the item and has not requested a refund. The CVV and AVS mismatches are likely a result of the customer’s card details being captured incorrectly during the transaction. Given the clear delivery and lack of prior disputes from this customer, we request reversal of the chargeback.

Thank you for your consideration.

Sincerely,
Merchant Representative",model,VISA_10_4,3776.446410532734,False,False,False,False,2
