id,payment_id,currency,phase,status,purchase_ts,filed_at,respond_by,avs_match,cvv_match,device_fingerprint_known,delivery_confirmed,prior_order_count,prior_dispute_count,ip_geo_billing_distance_km,days_between_purchase_and_dispute,amount,checkout_hour_of_day,card_network,customer_communication_log,reason_code,won_if_contested
dsp_000000,pay_000000,INR,chargeback,open,2025-07-11 05:57:37.868569367,2025-07-18 15:27:30.832726844,2025-07-25 15:27:30.832726844,False,False,False,True,6,2,7690.561319289325,5.804242568827647,8312.045821317452,18,RuPay,I do not recognize this charge on my statement. This does not match any purchase I remember making. Let me know.,VISA_83,False
dsp_000001,pay_000001,INR,chargeback,open,2024-11-11 23:49:09.980095673,2024-11-15 18:18:50.787707054,2024-11-22 18:18:50.787707054,False,False,True,False,8,2,5431.300674944493,6.814673650510384,26245.030340021014,10,RuPay,I do not recognize this charge on my statement. Someone must have used my card without my permission. I travel frequently and my account activity looks unusual to me. Please refund me.,MC_4840,False
dsp_000002,pay_000002,INR,chargeback,open,2025-09-10 04:34:19.401847273,2025-09-22 01:26:19.561815426,2025-09-29 01:26:19.561815426,False,True,False,False,3,2,6916.612383214588,15.894164396351826,3140.2805625723286,17,Mastercard,i need to report an issue with a recent charge. i did not authorize this transaction. a family member sometimes has access to my card. please investigate and let me know what you find. thank you.,VISA_83,False
dsp_000003,pay_000003,INR,chargeback,open,2025-05-17 02:31:10.351724908,2025-06-05 12:34:04.476100640,2025-06-12 12:34:04.476100640,False,False,True,False,13,2,4089.889005923769,18.5120042383611,11788.254604116235,7,Amex,This charge needs to be looked into. I don't recall approving this purchase. I travel frequently and my account activity looks unusual to me. Thank you for looking into this matter.,MC_4840,False
dsp_000004,pay_000004,INR,chargeback,open,2024-03-08 19:23:04.457394905,2024-03-30 05:56:24.645918364,2024-04-06 05:56:24.645918364,True,False,True,False,10,3,561.5174226220574,19.444913134963933,5313.384613005716,6,Mastercard,This charge needs to be looked into. I did not authorize this transaction. My card may have been compromised recently. I appreciate your help resolving this quickly.,AMEX_FR2,False
dsp_000005,pay_000005,INR,chargeback,open,2025-12-03 10:45:15.250619315,2025-12-10 13:00:19.015250439,2025-12-17 13:00:19.015250439,False,False,False,False,9,1,6923.141082438664,6.925215658272904,10519.534623834914,11,Visa,"This charge needs to be looked into. I did not authorize this transaction. Please investigate and let me know what you find. Thank you. Also, my delivery address recently changed.",AMEX_FR2,False
dsp_000006,pay_000006,INR,chargeback,open,2025-07-02 00:29:38.581415882,2025-07-04 07:34:30.223507044,2025-07-11 07:34:30.223507044,True,True,True,True,8,2,2502.0267490787373,0.0,13597.336710712298,16,Mastercard,I am writing to dispute a transaction on my account. Someone must have used my ard without my permission. I appreciate your help resolving this quickly.,MC_4840,False
dsp_000007,pay_000007,INR,chargeback,open,2025-07-19 23:11:28.302668747,2025-08-02 09:48:16.925728106,2025-08-09 09:48:16.925728106,True,True,True,False,7,1,1166.421913837638,14.365608442178155,1214.8321709992347,11,Mastercard,I am writing to dispute a transaction on my account. I don't recall approving this purchase. A family member sometimes has access to my card. Thank you for looking into this matter.,VISA_83,False
dsp_000008,pay_000008,INR,chargeback,open,2024-04-02 05:48:12.861480355,2024-04-16 17:52:27.556518267,2024-04-23 17:52:27.556518267,True,True,True,False,10,1,1811.5592774812485,13.49148790206173,2525.5956412323912,19,Mastercard,I do not recognize this charge on my statement. This does not match any purchase I remember making. Please refund me.,AMEX_FR2,True
dsp_000009,pay_000009,INR,chargeback,open,2024-11-20 06:40:08.424607437,2024-12-01 23:21:06.628988862,2024-12-08 23:21:06.628988862,False,False,False,True,2,0,4830.724116375823,10.27654955545036,5316.226502073273,9,RuPay,?,MC_4840,True
dsp_000010,pay_000010,INR,chargeback,open,2024-09-23 23:23:23.491460414,2024-09-29 19:22:08.927065170,2024-10-06 19:22:08.927065170,False,False,False,False,2,2,6979.596245719163,8.826817110003105,11469.645603478537,2,RuPay,I do not recognize this charge on my statement. Someone must have used my card without my permission. Le me know.,AMEX_FR2,False
dsp_000011,pay_000011,INR,chargeback,open,2025-10-29 06:29:56.426293821,2025-11-05 20:44:04.920839805,2025-11-12 20:44:04.920839805,False,False,False,False,0,2,6002.308986659731,7.309774371682299,13038.657063012724,2,Visa,I do not recognize this charge on my statement. I did not authorize this transaction. Let me know.,VISA_83,False
