# Razorpay's published chargeback reason-code reference, transcribed verbatim.
#
# Source:    https://cdn.razorpay.com/files/chargeback_codes.pdf
# Retrieved: 2026-09-02
# Method:    fetched, then `pdftotext -layout`; every row of all five pages
#            transcribed below. `reason_text` preserves the document's own
#            wording, including its typos (e.g. MASTERCARD 4849 "Questionable
#            Merchant Activates", MASTERCARD 4831 "Transaction Amount?") - a
#            transcription is not the place to silently correct a source.
#
# `wire_code` is this system's own identifier for the row: the network prefix
# (MASTERCARD -> MC) plus the published code. It exists because the published
# `code` alone is not unique - MASTERCARD and VISA both publish 98 and 99.
#
# Not in this file, and deliberately so: VISA 10.4 ("Other Fraud - Card-Absent
# Environment"), the post-2018 Visa Claims Resolution condition that replaced
# VISA 83. Razorpay's reference still publishes 83 and has not been updated to
# the VCR scheme (re-checked 2026-09-02). This file is the published list as
# published; the 83 -> 10.4 supersession is applied in
# `disputedesk/evidence/published_reason_codes.py`, where it can be read
# alongside its reasoning, rather than smuggled into a fixture that claims to
# be a transcription. See GENERATOR.md §8 and DECISIONS.md's 2026-09-01 "Visa
# reason code rename" entry.
network,code,wire_code,reason_text,category,preventable,reversible
MASTERCARD,4802,MC_4802,Requested/Required Item Illegible or Missing,Request for Information,YES,YES
MASTERCARD,4803,MC_4803,Documentation received was invalid/incomplete,Request for Information,YES,YES
MASTERCARD,4804,MC_4804,Duplicate Processing,Processing Error,NO,YES
MASTERCARD,4807,MC_4807,Warning Bulletin File,Authorization Error,YES,NO
MASTERCARD,4808,MC_4808,Requested/Required Authorization Not Obtained,Authorization Error,YES,YES
MASTERCARD,4812,MC_4812,Account Number Not on File,Authorization Error,YES,YES
MASTERCARD,4831,MC_4831,Transaction Amount?,Processing Error,NO,YES
MASTERCARD,4834,MC_4834,Duplicate Processing,Processing Error,NO,YES
MASTERCARD,4835,MC_4835,Card Not Valid or Expired,Authorization Error,YES,YES
MASTERCARD,4837,MC_4837,No Cardholder Authorization,Fraud,NO,YES
MASTERCARD,4840,MC_4840,Fraudulent Processing of Transactions,Fraud,NO,YES
MASTERCARD,4841,MC_4841,Canceled Recurring Transaction,Cancelled/Returned by Cardholder,NO,YES
MASTERCARD,4842,MC_4842,Late Presentment,Processing Error,YES,NO
MASTERCARD,4846,MC_4846,Correct Transaction Currency Code Not Provided,Processing Error,NO,NO
MASTERCARD,4847,MC_4847,Unauthorized transaction exceed floor limit,Processing Error,YES,NO
MASTERCARD,4849,MC_4849,Questionable Merchant Activates,Fraud,YES,NO
MASTERCARD,4850,MC_4850,Credit Posted as a Purchase,Processing Error,NO,YES
MASTERCARD,4853,MC_4853,Cardholder Dispute Defective/ Not as Described,Cancelled/Returned by Cardholder,NO,YES
MASTERCARD,4854,MC_4854,Cardholder Dispute-Not Elsewhere Classified,Processing Error,NO,YES
MASTERCARD,4855,MC_4855,Non-Receipt of Merchandise,Non-Receipt of Goods or Services,NO,YES
MASTERCARD,4857,MC_4857,Card-Activated Telephone Transaction,Fraud,NO,YES
MASTERCARD,4859,MC_4859,Services Not Rendered,Non-Receipt of Goods or Services,NO,YES
MASTERCARD,4862,MC_4862,Counterfeit Transaction Magnetic Stripe POS Fraud,Fraud,NO,YES
MASTERCARD,4863,MC_4863,Cardholder does not recognize- Possible Fraud,Request for Information,NO,YES
MASTERCARD,4903,MC_4903,Documentation received was invalid/incomplete,Other,YES,YES
MASTERCARD,4905,MC_4905,Invalid Acq Ref Data on Second Presentment,Other,NO,YES
MASTERCARD,98,MC_98,Good Faith Collection,Other,NO,YES
MASTERCARD,99,MC_99,Pre-Compliance,Other,NO,YES
VISA,30,VISA_30,Services Not Provided or Merchandise Not Received,Non-Receipt of Goods or Services,NO,YES
VISA,41,VISA_41,Canceled Recurring Transaction,Cancelled/Returned by Cardholder,NO,YES
VISA,53,VISA_53,Not as Described or Defective Merchandise,Cancelled/Returned by Cardholder,NO,YES
VISA,57,VISA_57,Fraudulent Multiple Transactions,Fraud,NO,YES
VISA,60,VISA_60,Requested Copy Illegible or Invalid,Request for Information,YES,YES
VISA,62,VISA_62,Counterfeit Transaction,Fraud,NO,YES
VISA,70,VISA_70,Card Recovery Bulletin or Exception File,Authorization Error,YES,NO
VISA,71,VISA_71,Declined Authorization,Authorization Error,YES,YES
VISA,72,VISA_72,Transaction Exceeds Floor Limit,Authorization Error,YES,YES
VISA,73,VISA_73,Expired Card,Authorization Error,YES,YES
